name,code
Binz,13073011
Binzen,08336008
Bippen,03459011
Birenbach,08117009
Birgel,07233007
Birgland,09371116
Birkach,09572451
Birkenau,06431004
Birkenbeul,07132007
Birkenfeld,07134010
Birkenfeld,08236004
Birkenfeld,09677119
Birkenfelde,16061007
Birkenheide,07338003
Birken-Honigsessen,07132008
Birkenhördt,07337008
Birkenhügel,16075002
Birkenwerder,12065036
Birkheim,07140016
Birkweiler,07337009
Birlenbach,07141014
Birnbach,07132009
Birnbaum,09476451
Birresborn,07233204
Birstein,06435004
Birtlingen,07232017
Birx,16066012
Bischberg,09471117
Bischbrunn,09677120
Bischheim,07333007
Bischoffen,06532002
Bischofrod,16069004
Bischofroda,16063008
Bischofsgrün,09472121
Bischofsgrüner Forst,09472451
Bischofsheim,06433002
Bischofsheim a.d. Rhön,09673117
Bischofsmais,09276116
Bischofswerda,14625040
Bischofswiesen,09172117
Bischweier,08216006
Bisingen,08417008
Bismark (Altmark),15090070
Bispingen,03358002
Bissee,01058016
Bissendorf,03459012
Bissersheim,07332004
Bissingen,09773117
Bissingen an der Teck,08116012
Bisterschied,07333008
Bitburg,07232018
Bitterfeld-Wolfen,15082015
Bitz,08417010
Bitzen,07132010
Blaibach,09372115
Blaichach,09780115
Blankenbach,09671113
Blankenberg,13076011
Blankenberg,16075003
Blankenburg,16064007
Blankenburg (Harz),15085055
Blankenfelde-Mahlow,12072017
Blankenhagen,13072015
Blankenhain,16071008
Blankenheim,05366008
Blankenheim,15087070
Blankenhof,13071010
Blankenrath,07135010
Blankensee,13071011
Blankensee,13075012
Blankenstein,16075004
Blaubach,07336006
Blaubeuren,08425020
Blaufelden,08127008
Blaustein,08425141
Bleckede,03355009
Bleckhausen,07233008
Bleialf,07232206
Bleicherode,16062002
Blekendorf,01057007
Blender,03361002
Blesewitz,13075013
Bleyen-Genschmar,12064057
Bliedersdorf,03359007
Bliesdorf,12064061
Blieskastel,10045112
Bliestorf,01053011
Blievenstorf,13076012
Blindheim,09773119
Blomberg,03462001
Blomberg,05766016
Blomesche Wildnis,01061012
Blowatz,13074007
Blumberg,08326005
Blumenholz,13071012
Blumenthal,01058018
Blunk,01060010
Bobeck,16074005
Bobenheim am Berg,07332005
Bobenheim-Roxheim,07338004
Bobenthal,07340001
Böbing,09190117
Bobingen,09772125
Böbingen,07337011
Böbingen an der Rems,08136009
Bobitz,13074008
Böblingen,08115003
Böbrach,09276118
Bobritzsch-Hilbersdorf,14522035
Bobzin,13076013
Böchingen,07337012
Bocholt,05554008
Bochum,05911000
Bocka,16076007
Bockau,14521080
Bockenau,07133013
Bockenem,03254008
Bockenheim an der Weinstraße,07332006
Bockhorn,03455025
Bockhorn,09177113
Bockhorst,03454004
Boddin,13072016
Bodelshausen,08416006
Bodelwitz,16075006
Boden,07143005
Bodenbach,07233205
Bodenfelde,03155002
Bodenheim,07339006
Bodenkirchen,09274120
Bodenmais,09276117
Bodenrode-Westhausen,16061012
Bodensee,03152003
Bodenwerder,03255003
Bodenwöhr,09376116
Bodman-Ludwigshafen,08335098
Bodnegg,08436018
Bodolz,09776111
Böel,01059006
Boffzen,03255004
Boffzen,03255501
Bogel,07141015
Bogen,09278118
Böhen,09778119
Böhlen,14729040
Böhlen,16070005
Böhl-Iggelheim,07338005
Böhme,03358003
Böhmenkirch,08117010
Böhmfeld,09176116
Bohmstedt,01054012
Bohmte,03459013
Böhnhusen,01058019
Boiensdorf,13074009
Boitze,03355010
Boitzenburger Land,12073069
Boizenburg/Elbe,13076014
Bokel,01056006
Bokel,01058021
Bokelrehm,01061013
Bokensdorf,03151004
Bokholt-Hanredder,01056008
Bokhorst,01061014
Böklund,01059008
Boksee,01057010
Bolanden,07333010
Boldekow,13075015
Bollberg,16074006
Böllen,08336010
Bollenbach,07134012
Böllenborn,07337013
Bollendorf,07232019
Bollewick,13071013
Bollingstedt,01059010
Bollschweil,08315014
Bölsberg,07143211
Bolsterlang,09780116
Boltenhagen,13074010
Bomlitz,03358004
Boms,08436019
Bondelum,01054013
Bondorf,08115004
Bönebüttel,01057008
Bonefeld,07138005
Bönen,05978008
Bonerath,07235010
Bongard,07233206
Bonn,05314000
Bonndorf im Schwarzwald,08337022
Bönnigheim,08118010
Bönningstedt,01056005
Bonstetten,09772126
Boock,13075016
Boos,07133014
Boos,07137014
Boos,09778120
Boostedt,01060011
Bopfingen,08136010
Boppard,07140501
Borchen,05774012
Bördeaue,15089041
Börde-Hakel,15089043
Bördeland,15089042
Bordelum,01054014
Bordesholm,01058022
Boren,01059187
Börfink,07134011
Borgdorf-Seedorf,01058023
Borgentreich,05762012
Börger,03454005
